,DistrictCode,SchoolCode,SchoolName,Longitude,Latitude,County,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NoLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
0,1109,3075,Washtucna Elementary/High School,-118.311231,46.752189,Adams,28,3,9,0,19,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,24,3,0,0,28,3,17,1,11,2,2,0,26,3,7,0,4,0,6,1,11,2
1,1147,3015,Othello High School,-119.165246,46.82271,Adams,1281,169,635,60,646,109,0,0,0,0,5,1,2,0,1173,151,0,0,0,0,3,0,98,17,402,54,879,115,1069,142,212,27,195,29,1086,140,382,51,328,44,321,29,250,45
2,1158,2903,Lind-Ritzville High School,-118.29251599999999,47.125588,Adams,60,17,30,8,29,9,1,0,0,0,0,0,1,0,23,10,0,0,0,0,4,2,32,5,7,3,53,14,48,14,12,3,3,1,57,16,18,9,15,2,14,1,13,5
3,1160,2132,Ritzville High School,-118.29251599999999,47.125588,Adams,113,18,57,9,56,9,0,0,2,2,2,0,0,0,9,0,0,0,0,0,3,0,97,16,0,0,113,18,47,6,66,12,6,4,107,14,32,5,35,3,25,3,21,7
4,2250,1617,Educational Opportunity Center,-117.057521,46.411019,Asotin,167,0,89,0,78,0,0,0,1,0,0,0,2,0,11,0,0,0,0,0,5,0,148,0,0,0,167,0,133,0,34,0,25,0,142,0,16,0,51,0,41,0,59,0
5,2250,2299,Charles Francis Adams High School,-117.044772,46.410724,Asotin,803,29,389,10,413,19,1,0,19,0,9,0,14,0,74,2,0,0,0,0,56,4,631,23,4,0,799,29,389,11,414,18,117,1,686,28,220,13,218,12,179,3,186,1
6,2420,2434,Asotin Jr Sr High,-117.04821000000001,46.33933,Asotin,177,0,88,0,89,0,0,0,0,0,2,0,1,0,9,0,1,0,0,0,15,0,149,0,0,0,177,0,62,0,115,0,21,0,156,0,37,0,36,0,52,0,52,0
7,3017,1884,Legacy High School,-119.18406200000001,46.199694,Benton,716,0,370,0,345,0,1,0,4,0,2,0,15,0,316,0,4,0,0,0,52,0,323,0,56,0,660,0,334,0,382,0,63,0,653,0,118,0,150,0,187,0,261,0
8,3017,2826,Kennewick High School,-119.126476,46.206332,Benton,1911,203,942,47,967,156,2,0,4,1,51,4,34,4,974,95,12,2,0,0,77,8,759,89,322,23,1589,180,1249,127,662,76,214,18,1697,185,569,54,491,70,410,31,441,48
9,3017,3731,Kamiakin High School,-119.18712,46.216464,Benton,2007,139,969,27,1035,112,3,0,14,0,32,4,49,2,602,28,2,2,0,0,103,11,1205,92,140,10,1867,129,792,50,1215,89,247,26,1760,113,566,30,527,53,489,32,425,24
10,3017,4007,Benton/Franklin Juvenile Justice Center,-119.195874,46.224092,Benton,92,0,23,0,69,0,0,0,0,0,0,0,10,0,35,0,0,0,0,0,9,0,38,0,3,0,89,0,58,0,34,0,17,0,75,0,14,0,29,0,33,0,16,0
11,3017,4118,Tri-Tech Skills Center,-119.200948,46.219565,Benton,392,7,208,0,184,7,0,0,1,0,6,1,1,0,169,0,1,0,0,0,0,0,214,6,0,0,392,7,145,1,247,6,1,0,391,7,0,0,0,0,175,3,217,4
12,3017,4484,Southridge High School,-119.1914,46.179867,Benton,1894,76,907,7,979,68,8,1,10,0,42,2,47,3,655,19,9,0,0,0,105,10,1026,42,196,5,1698,71,972,38,922,38,188,4,1706,72,492,19,471,23,460,15,471,19
13,3052,2904,Kiona-Benton City High School,-119.49117700000001,46.263821,Benton,464,0,229,0,234,0,1,0,2,0,2,0,0,0,221,0,1,0,0,0,11,0,227,0,97,0,367,0,340,0,124,0,74,0,390,0,125,0,120,0,107,0,112,0
14,3053,2367,River View High School,-119.037182,46.155253,Benton,311,9,149,6,161,3,1,0,0,0,3,0,2,0,149,8,0,0,0,0,6,0,151,1,44,1,267,8,245,7,66,2,52,0,259,9,62,0,80,3,97,3,72,3
15,3116,2508,Prosser High School,-119.767241,46.203649,Benton,972,2,493,0,478,2,1,0,12,0,9,0,7,0,617,2,1,0,0,0,13,0,313,0,165,0,807,2,683,2,289,0,120,0,852,2,249,0,220,0,232,1,271,1
16,3400,3511,Richland High School,-119.288273,46.278434999999995,Benton,2283,68,1103,13,1180,55,0,0,10,0,70,6,34,0,438,9,4,0,0,0,112,6,1615,47,105,3,2178,65,817,19,1466,49,278,15,2005,53,666,17,582,22,526,12,509,17
17,3400,3833,Hanford High School,-119.26784099999999,46.325664,Benton,2033,120,1013,26,1017,94,3,0,6,0,98,15,27,1,437,15,3,1,0,0,90,9,1372,79,93,5,1940,115,649,29,1384,91,232,11,1801,109,554,41,525,28,437,11,517,40
18,3400,4295,Rivers Edge High School,-119.277102,46.272490000000005,Benton,287,1,156,1,130,0,1,0,2,0,0,0,6,0,77,0,0,0,0,0,12,0,190,1,12,0,275,1,125,0,162,1,24,0,263,1,25,0,46,0,73,1,143,0
